CO_MUNICIPIO,ANO,POPULACAO
2508901,2001,39183
2509008,2001,10354
2509057,2001,6340
2509107,2001,20667
2509156,2001,5538
2509206,2001,11651
2509305,2001,5570
2509339,2001,4023
2509370,2001,2463
2509396,2001,5056
2509404,2001,13225
2509503,2001,3981
2509602,2001,4119
2509701,2001,27763
2509800,2001,8777
2509909,2001,10443
2510006,2001,7256
2510105,2001,9675
2510204,2001,6489
2510303,2001,3603
2510402,2001,7691
2510501,2001,3169
2510600,2001,2820
2510659,2001,1443
2510709,2001,1985
2510808,2001,93010
2510907,2001,11297
2511004,2001,3706
2511103,2001,6619
2511202,2001,25919
2511301,2001,14713
2511400,2001,18066
2511509,2001,10364
2511608,2001,7778
2511707,2001,5429
2511806,2001,10192
2511905,2001,14446
2512002,2001,14916
2512036,2001,3871
